BLQ-st,Project Name,Address,BLQ - Ward,Legistar File ID,Agenda Number
2644-18,"Road To Prosperity, LLC",823-825 S 17TH,South,21-0524,7R2-g 100621
368-40,,715-717 S 20TH,South,20-1411,7R2-g 110421
5016-6,Morris Doremus,191-269 DOREMUS AVE REAR,East,16-1823,7R2-g 121316
1866-43,"T-Clan Development, LLC",84-86 S 14TH ST,WEST,20-1408,7R2-g 121521
526-10,Domus Corporation,102-108 3RD AVE E.,Central,18-1235,7R2-g(s) 091118
351-59,Moustafa Abdalla,613 S 18TH ST,West,19-0705,7R2-h (s) 070219
336-49,"512-520 South 19th Street Associates, LLC",522 S 19TH ST,WEST,21-0742,7R2-h (s) 081921
2862-20,"Gomes and Gomes Development, LLC",253-257 ORANGE ST,Central,19-0791,7R2-h (s) 082019
3009-11,"Rashid Properties, LLC",882 S 14TH ST,SOUTH,21-1268,7R2-h 012022
4059-52,"Shameer Properties, LLC",146-150 SUNSET AVE,West,19-1554,7R2-h 050620
290-49,,422 S 9TH ST,Central,19-0706,7R2-h 080719
1846-16,Central Ave Residence LLC,46 1ST ST,CENTRAL,22-0081,7R2-h 090822
2685-6,"Davidson Abraham & Associates, LLC and Mt. Hope Housing Company, Inc.",601 HUNTERDON ST,SOUTH,22-0551,7R2-h 092122
2672-58,"Sashi Homes, LLC",46 MILFORD AVE,South,21-0632,7R2-h 100621
2707-30,"PGH & Associates, LLC",768-772 BERGEN ST,South,20-0909,7R2-h 102120
2618-37,"Satary Real Estate Investments, LLC",701 S 11TH ST,SOUTH,21-0760,7R2-h 121521
308-13,United Community Corporation ,511 S 10TH ST,Central,19-0683,7R2-I (s/as) 072319
986-50,Manuel Caetano,291 NEW YORK AVE,EAST,22-1882,7R2-i 040523
2635-34,"Street Doctor's Cleaning Services and Remediation, LLC",776 S 16TH ST,South,19-1921,7R2-I 050620
507-54,"131-133 Highland Avenue, LLC",35-37 HIGHLAND AVE,North,19-1711,7R2-i 050620
1878-27,"131-133 Highland Avenue, LLC",37 3RD ST,Central,19-1744,7R2-i 050620
335-36,SLM & Son,544 S 18TH ST,West,17-1551,7R2-I 071118
330-33,"Jarid Jamar Construction Company, Inc",476 S 14TH ST,West,19-0789,7R2-I 080719
570-38,Roman E&G Corp,44-58 OGDEN ST,NORTH,22-0634,7R2-i 092122
1854-43,"RSL Enterprises, LLC",18-22 S 8TH ST,WEST,22-0726,7R2-I 092122
2640-40,"Affine Group, LLC",717-719 SPRINGFIELD AVE,SOUTH,21-0718,7R2-i 100621
1854-24,A. Aleem Construction,501-503 CENTRAL AVE,West,20-0278,7R2-I 110520
35-29,The Newark Museum Association,65 CENTRAL AVE,CENTRAL,21-1487,7R2-i 121521
1164-10,,184 THOMAS ST,East,19-0785,7R2-j (as) 081920
2703-4,"Das 1 Holding, LLC",161 RIDGEWOOD AVE,South,19-1806,7R2-j 050620
2692-19,"TAW NJ, LLC ",133-135 RIDGEWOOD AVE,SOUTH,22-0367,7R2-j 090822
3016-25,"International Federal Chaplains, Inc",861-869 CLINTON AVE,SOUTH,22-0714,7R2-j 092122
2636-2,Eon A. Adams,750 S 17TH ST,South,19-0682,7R2-K (s/as) 072319
2651-32,Lolita Gooden,802-804 S 11TH ST,South,19-1826,7R2-K 050620
2687-44,Vanes T. Amarante ,156 CHADWICK AVE,SOUTH,22-0722,7R2-K 092122
5001-16,38-60 Blanchard,38-60 BLANCHARD ST REAR,EAST,16-1688,7R2-k(s) 112916
359-33,AP LLC,686 S 16TH ST,South,17-0443,7R2-l 041917
3018-31,"Clinton Commons MOH, LLC",938-940 S 20TH,South,19-0704,7R2-m (s/as) 072319 
3067-15.03,Quia T. Zellars,123-125 LESLIE ST,SOUTH,19-2013,7R2-m 050620
340-7,"Beacon Development Partners, LLC",296-298 16TH AVE,WEST,22-0754,7R2-m 090822
1966-14,Stadium Rose Apartments LLC,484-488 ROSEVILLE AVE,North,20-0059,7R2-n 050620
3019-74,"New Life Construction and Property Mgmt, LLC",145 CHADWICK AVE,SOUTH,22-0773,7R2-n 090822
239-1,"Aasia and Madison Foundation, Inc",37-41 JONES ST,Central,20-0103,7R2-O 050620
1840-16,North Jersey Community Research Initiative,22 1ST ST,CENTRAL,22-0923,7R2-o 090822
351-21,"Apolo's Flip and Sell, LLC",645 S 18TH ST,WEST,22-0543,7R2-p 041923
2615-23,"Newark Interfaith, LLC",40-50 KENT ST,SOUTH,20-0112,7R2-p 050620
775-2,"731 Summer Avenue, LLC",731 SUMMER AVE,North,20-0495,7R2-S (as) 050620
328-27,"582 South 15 Avenue MB, LLC",582 15TH AVE,West,15-2275,7R3-a(as) 121615
3024-64,Seymour Ave. - YouthBuild,171 SEYMOUR AVE,South,13-1767,7R3-a(s) 031114
334-16,Hamlett Management,527 S 16TH ST,West,16-0504,7R3-a(s) 071916
1813-16,"Community Development Group, LLC",169 S 9TH ST,West,16-1243,7R3-a(s) 091316
2608-28,Ganesh Ji Springfield,451 SPRINGFIELD AVE,Central,16-1081,7R3-c 080316
1275-6,Ray's Enterprises,86 AVENUE C,East,16-0055,7R3-c(s) 032216
2520-62,Springfield Renaissance - City National,247-251 SPRINGFIELD AVE,Central,16-1132,7R3-c(s) 082316
322-11,413 S 18th St.,413 S 18TH ST,West,16-0389,7R3-d 042016
1811-6,L. Velez General Contractors,60 11TH AVE,West,16-1123,7R3-d 080316
